شماره کارت,شناسه دستگاه پوز,تاریخ تراکنش,مبلغ تراکنش(ریال),زمان تراکنش
5028060000000026,293800040001,1397/10/02,35000000,180112
5028060000000070,741200040919,1397/10/02,79820000,103543
5028060000000072,293800040501,1397/10/02,88560000,182056
5028060000000317,694900040719,1397/10/02,79480000,094205
5028060000000317,578500040801,1397/10/02,35000000,180631
5028060000000394,694900040919,1397/10/02,20180000,171721
5028060000000570,293800040001,1397/10/02,48000000,021815
5028060000000791,578500040401,1397/10/02,35180000,204227
5028060000000811,293800040601,1397/10/02,64820000,015049
5028060000000870,621400040419,1397/10/02,76640000,022220
5028060000000894,578500040901,1397/10/02,600000,192140
5028060000001104,578500040301,1397/10/02,40000000,170722
5028060000001105,293800040001,1397/10/02,3500000,180112
5028060000001122,293800040701,1397/10/02,600000,001751
5028060000001122,293800040101,1397/10/02,76640000,012229
5028060000001162,694900040119,1397/10/02,88560000,151358
5028060000001313,578500040301,1397/10/02,65000000,074845
5028060000001389,694900040619,1397/10/02,57000000,042807
5028060000001473,694900040919,1397/10/02,26600000,061721
5028060000001473,694900040319,1397/10/02,57000000,125707
5028060000001497,621400040019,1397/10/02,23360000,014732
5028060000001664,694900040619,1397/10/02,64820000,131204
5028060000001678,694900040119,1397/10/02,52000000,004126
5028060000001678,621400040819,1397/10/02,13100000,200936
5028060000001967,741200040019,1397/10/02,23360000,222717
5028060000001967,293800040901,1397/10/02,105000000,171748
5028060000002142,694900041819,1397/10/02,20180000,111715
5028060000002142,293800041601,1397/10/02,79820000,081647
5028060000002144,578500041901,1397/10/02,79480000,204309
5028060000002319,621400041819,1397/10/02,43000000,162226
5028060000002482,741200041219,1397/10/02,35180000,164243
5028060000002482,293800041101,1397/10/02,23360000,195954
5028060000002501,694900041519,1397/10/02,60000000,174822
5028060000002955,621400041719,1397/10/02,79480000,234938
5028060000003018,741200041219,1397/10/02,35000000,135321
5028060000003018,621400041519,1397/10/02,57000000,060639
5028060000003809,293800041301,1397/10/02,40000000,021819
5028060000003852,293800041801,1397/10/02,79820000,230848
5028060000003856,694900041519,1397/10/02,52000000,011003
5028060000003872,694900041719,1397/10/02,26600000,222908
5028060000003872,578500041801,1397/10/02,35000000,175050
5028060000003982,694900041619,1397/10/02,23360000,171403
5028060000003982,621400041119,1397/10/02,600000,092939
5028060000003992,741200041419,1397/10/02,600000,125440
5028060000099281,377080013919,1397/10/02,8708000,013849
5028060000099608,043300035219,1397/10/02,4563000,201012
5028060000099709,043350034219,1397/10/02,7504780,143844
5028060000100163,280610033301,1397/10/02,3675000,225849
5028060000100216,379901003819,1397/10/02,3000000,224139
5028060000101299,741201002619,1397/10/02,636000,070723
5028060000101370,198660028619,1397/10/02,2631000,161744
5028060000101442,802340011619,1397/10/02,2000000,111706
5028060000101478,280601002101,1397/10/02,1437000,191750
5028060000101481,921070037601,1397/10/02,3675000,112105
5028060000101485,293801001801,1397/10/02,2631000,111630
5028060000101667,921050026201,1397/10/02,4563000,134614
5028060000101698,198630012919,1397/10/02,4952200,025539
5028060000102329,802390010819,1397/10/02,8708000,123158
5028060000102372,043301001519,1397/10/02,8708000,120655
5028060000102763,198610011919,1397/10/02,4952200,081323
5028060000103104,921030001801,1397/10/02,636000,125250
5028060000103262,280650033901,1397/10/02,3900000,230426
5028060000103563,376960032519,1397/10/02,4095000,065542
5028060000103710,417210016401,1397/10/02,7504780,140132
5028060000103710,376910028919,1397/10/02,2325000,131735
5028060000103947,921001001801,1397/10/02,8708000,173636
5028060000104172,376950029619,1397/10/02,5364000,175647
5028060000104321,210600007019,1397/10/02,7504780,105039
5028060000106591,959980035719,1397/10/02,4952200,171150
5028060000106642,293801004601,1397/10/02,3675000,141832
5028061000000041,741200040119,1397/10/02,40000000,220918
5028061000000248,621400040119,1397/10/02,20180000,054524
5028061000000248,621400040119,1397/10/02,70000000,183749
5028061000000255,578500040301,1397/10/02,76640000,155955
5028061000000291,578500040901,1397/10/02,26600000,010435
5028061000000408,621400040219,1397/10/02,79820000,003228
5028061000000662,578500040201,1397/10/02,79480000,121632
5028061000000893,741200040419,1397/10/02,79480000,095217
5028061000000965,578500040801,1397/10/02,48000000,161742
5028061000001317,694900040919,1397/10/02,76640000,150213
5028061000001376,694900040619,1397/10/02,20180000,053850
5028061000001405,621400040119,1397/10/02,60000000,065701
5028061000001510,621400040519,1397/10/02,86900000,101853
5028061000001510,293800040501,1397/10/02,26600000,111817
5028061000001520,694900040419,1397/10/02,65000000,121936
5028061000001614,694900040019,1397/10/02,40000000,131717
5028061000001614,621400040319,1397/10/02,73400000,094119
5028061000001699,578500040301,1397/10/02,600000,150721
5028061000001704,741200040119,1397/10/02,79480000,161928
5028061000001831,578500040601,1397/10/02,73400000,113517
5028061000001913,694900040219,1397/10/02,600000,031702
5028061000001963,694900040219,1397/10/02,70000000,071935
5028061000001963,293800040401,1397/10/02,35000000,192638
5028061000001973,694900040319,1397/10/02,79480000,235011
5028061000001973,293800040501,1397/10/02,13100000,141722
5028061000001996,741200040419,1397/10/02,35180000,163448
5028061000001996,694900040419,1397/10/02,88560000,084233
5028061000002286,578500041901,1397/10/02,600000,014101
5028061000002312,741200041219,1397/10/02,76640000,171341
5028061000002312,578500041201,1397/10/02,88560000,180525
5028061000002330,293800041901,1397/10/02,86900000,191351
5028061000002360,578500041901,1397/10/02,11440000,044331
5028061000002360,293800041101,1397/10/02,11440000,171655
5028061000002430,621400041019,1397/10/02,70000000,200710
5028061000002430,578500041201,1397/10/02,65000000,181756
5028061000002433,293800041301,1397/10/02,76640000,052129
5028061000002576,694900041619,1397/10/02,43000000,090251
5028061000002902,621400041119,1397/10/02,57000000,134443
5028061000003003,694900041519,1397/10/02,35000000,013839
5028061000003003,293800041401,1397/10/02,70000000,061053
5028061000003156,621400041219,1397/10/02,73400000,131719
5028061000003156,578500041901,1397/10/02,79480000,190332
5028061000003297,741200041619,1397/10/02,88560000,203619
5028061000003297,578500041201,1397/10/02,35000000,051812
5028061000003332,621400041119,1397/10/02,65000000,182438
5028061000003425,694900041719,1397/10/02,43000000,033015
5028061000003458,578500041801,1397/10/02,57000000,001132
5028061000003458,578500041801,1397/10/02,64820000,141735
5028061000003493,621400041519,1397/10/02,73400000,032336
5028061000003563,293800041401,1397/10/02,65000000,025641
5028061000003621,741200041419,1397/10/02,48000000,141437
5028061000003636,741200041419,1397/10/02,600000,054333
5028061000003674,694900041819,1397/10/02,26600000,155853
5028061000003859,621400041619,1397/10/02,43000000,093317
5028061000003939,578500041201,1397/10/02,50000000,043012
5028061000003955,621400041019,1397/10/02,52000000,164535
5028061000003955,578500041101,1397/10/02,79480000,053514
5028062000000110,741200040119,1397/10/02,40000000,001759
5028062000000110,578500040601,1397/10/02,48000000,162635
5028062000000206,578500040701,1397/10/02,40000000,192349
5028062000000300,578500040301,1397/10/02,73400000,145503
5028062000000301,621400040319,1397/10/02,48000000,145432
5028062000000301,578500040201,1397/10/02,26600000,081049
5028062000000356,694900040219,1397/10/02,23360000,151743
5028062000000356,578500040301,1397/10/02,60000000,055844
5028062000000423,621400040519,1397/10/02,52000000,054927
5028062000000423,293800040101,1397/10/02,88560000,075715
5028062000000426,694900040219,1397/10/02,65000000,002842
5028062000000426,293800040701,1397/10/02,88560000,194030
5028062000000511,293800040501,1397/10/02,57000000,233542
5028062000000618,694900040119,1397/10/02,64820000,071717
5028062000000618,621400040819,1397/10/02,65000000,112311
5028062000000771,578500040601,1397/10/02,600000,075804
5028062000000781,741200040219,1397/10/02,76640000,091847
5028062000000781,741200040019,1397/10/02,26600000,185619
5028062000000864,293800040701,1397/10/02,26600000,052146
5028062000000975,741200040719,1397/10/02,88560000,081335
5028062000000975,578500040201,1397/10/02,73400000,021750
5028062000001030,293800040901,1397/10/02,35180000,061507
5028062000001030,293800040501,1397/10/02,20520000,052931
5028062000001109,578500040301,1397/10/02,40000000,015616
5028062000001127,694900040419,1397/10/02,48000000,073634
5028062000001145,741200040219,1397/10/02,70000000,112402
5028062000001145,621400040019,1397/10/02,48000000,234210
5028062000001269,694900040619,1397/10/02,52000000,120932
5028062000001269,578500040801,1397/10/02,26600000,224319
